"seqnames","start","end","width","strand","gene_id","gene_name","biotype"
"chr1",778747,810065,31319,"+","ENSG00000237491.10","LINC01409","lncRNA"
"chr1",817371,819837,2467,"+","ENSG00000177757.2","FAM87B","lncRNA"
"chr1",825138,859446,34309,"+","ENSG00000228794.11","LINC01128","lncRNA"
"chr1",826206,827522,1317,"-","ENSG00000225880.5","LINC00115","lncRNA"
"chr1",904834,915976,11143,"+","ENSG00000272438.1","ENSG00000272438","lncRNA"
"chr1",911435,914802,3368,"+","ENSG00000230699.2","ENSG00000230699","lncRNA"
"chr1",916870,919692,2823,"-","ENSG00000223764.2","LINC02593","lncRNA"
"chr1",944576,959309,14734,"-","ENSG00000188976.11","NOC2L","protein_coding"
"chr1",960584,965719,5136,"+","ENSG00000187961.15","KLHL17","protein_coding"
"chr1",966482,975203,8722,"+","ENSG00000187583.11","PLEKHN1","protein_coding"
"chr1",995966,998051,2086,"-","ENSG00000272512.1","ENSG00000272512","lncRNA"
"chr1",998962,1000172,1211,"-","ENSG00000188290.11","HES4","protein_coding"
"chr1",1020120,1056118,35999,"+","ENSG00000188157.15","AGRN","protein_coding"
"chr1",1062208,1063288,1081,"-","ENSG00000273443.1","ENSG00000273443","lncRNA"
"chr1",1097585,1104598,7014,"+","ENSG00000285812.1","ENSG00000285812","lncRNA"
"chr1",1081818,1116361,34544,"-","ENSG00000131591.18","C1orf159","protein_coding"
"chr1",1203508,1206592,3085,"-","ENSG00000186891.14","TNFRSF18","protein_coding"
"chr1",1216909,1232067,15159,"-","ENSG00000078808.19","SDF4","protein_coding"
"chr1",1232237,1235041,2805,"+","ENSG00000176022.7","B3GALT6","protein_coding"
"chr1",1253909,1273864,19956,"-","ENSG00000160087.21","UBE2J2","protein_coding"
"chr1",1275223,1280420,5198,"+","ENSG00000230415.1","LINC01786","lncRNA"
"chr1",1280436,1292029,11594,"+","ENSG00000162572.21","SCNN1D","protein_coding"
"chr1",1311678,1324687,13010,"-","ENSG00000127054.22","INTS11","protein_coding"
"chr1",1324756,1328896,4141,"+","ENSG00000224051.7","CPTP","protein_coding"
"chr1",1331280,1335275,3996,"+","ENSG00000169962.5","TAS1R3","protein_coding"
"chr1",1352689,1361777,9089,"-","ENSG00000162576.17","MXRA8","protein_coding"
"chr1",1399515,1401908,2394,"+","ENSG00000224870.8","MRPL20-AS1","lncRNA"
"chr1",1402047,1407293,5247,"-","ENSG00000242485.6","MRPL20","protein_coding"
"chr1",1409096,1410618,1523,"+","ENSG00000272455.1","MRPL20-DT","lncRNA"
"chr1",1418420,1421769,3350,"-","ENSG00000235098.9","ANKRD65","protein_coding"
"chr1",1471765,1497848,26084,"+","ENSG00000160072.20","ATAD3B","protein_coding"
"chr1",1512162,1534685,22524,"+","ENSG00000197785.14","ATAD3A","protein_coding"
"chr1",1574102,1575879,1778,"+","ENSG00000215014.5","ENSG00000215014","lncRNA"
"chr1",1541673,1574863,33191,"-","ENSG00000160075.12","SSU72","protein_coding"
"chr1",1615879,1630605,14727,"+","ENSG00000197530.13","MIB2","protein_coding"
"chr1",1635264,1659012,23749,"-","ENSG00000248333.9","CDK11B","protein_coding"
"chr1",1659529,1692795,33267,"-","ENSG00000189339.12","SLC35E2B","protein_coding"
"chr1",1702379,1724357,21979,"-","ENSG00000008128.23","CDK11A","protein_coding"
"chr1",1785285,1891117,105833,"-","ENSG00000078369.18","GNB1","protein_coding"
"chr1",1891223,1892726,1504,"+","ENSG00000231050.2","ENSG00000231050","lncRNA"
"chr1",1915108,1917296,2189,"+","ENSG00000169885.10","CALML6","protein_coding"
"chr1",2050411,2175313,124903,"+","ENSG00000067606.17","PRKCZ","protein_coding"
"chr1",2181794,2184389,2596,"-","ENSG00000182873.5","PRKCZ-AS1","lncRNA"
"chr1",2184461,2212720,28260,"-","ENSG00000162585.17","FAAP20","protein_coding"
"chr1",2363061,2363628,568,"-","ENSG00000272420.1","ENSG00000272420","lncRNA"
"chr1",2391775,2403963,12189,"+","ENSG00000157916.20","RER1","protein_coding"
"chr1",2425980,2505532,79553,"+","ENSG00000149527.18","PLCH2","protein_coding"
"chr1",2528745,2530263,1519,"-","ENSG00000197921.6","HES5","protein_coding"
"chr1",2556697,2565382,8686,"+","ENSG00000157873.18","TNFRSF14","protein_coding"
"chr1",2549920,2557031,7112,"-","ENSG00000238164.6","TNFRSF14-AS1","lncRNA"
"chr1",2586491,2591469,4979,"+","ENSG00000157870.17","PRXL2B","protein_coding"
"chr1",2768091,2784733,16643,"+","ENSG00000285945.1","ENSG00000285945","lncRNA"
"chr1",2773603,2776473,2871,"+","ENSG00000283259.1","ENSG00000283259","lncRNA"
"chr1",2635976,2801717,165742,"-","ENSG00000215912.12","TTC34","protein_coding"
"chr1",3622857,3624786,1930,"-","ENSG00000238260.2","ENSG00000238260","lncRNA"
"chr1",3625015,3630127,5113,"+","ENSG00000158109.15","TPRG1L","protein_coding"
"chr1",3630767,3652761,21995,"-","ENSG00000116213.16","WRAP73","protein_coding"
"chr1",3778559,3796498,17940,"-","ENSG00000130764.10","LRRC47","protein_coding"
"chr1",3812086,3857233,45148,"-","ENSG00000116198.14","CEP104","protein_coding"
"chr1",3857267,3885429,28163,"+","ENSG00000169598.17","DFFB","protein_coding"
"chr1",3889125,3900278,11154,"-","ENSG00000198912.12","C1orf174","protein_coding"
"chr1",3900352,3917225,16874,"+","ENSG00000236423.7","LINC01134","lncRNA"
